"Mã vật tư","Tên vật tư","Vị trí","Số lượng hệ thống","Số lượng kiểm kê"
VAP01004,"Máy ra vào lốp TITANO STD-30",1,1,
VAP1819,"Bánh dẫn hướng máy ủi Liugong CLGB230",1,1,
VAP1828,"Gale tỳ (4 gờ) máy ủi Liugong CLGB230",10,10,
VAP2175,"Lọc nhiên liệu tinh 1000700909",11,11,
VAP01008,"Kệ trung tải 4 tầng H2000xL1500xD600",12,12,
VAP2057,"Lọc tách nước B222100000365",2,2,
VAP2055,"Lọc dầu động cơC3908616 (60078092)",2,2,
VAP02705,"Lọc nhiên liệu tách nước (WG9925550182)",2,2,
VAP2076,"Lọc dầu hút 60200363",3,3,
VAP02645,"Lọc dầu hồi (60200365), Sany, TQ",3,3,
VAP02651,"Lọc gió chính (B222100000593), Sany",3,3,
VAP02652,"Lọc gió phụ (B222100000591), Sany",3,3,
VAP02655,"Lọc dầu động cơ (60220064)",3,3,
VAP2108,"Lọc gió phụ (trong) 60207264",3,3,
VAP2109,"Lọc gió chính (ngoài) 60207265",3,3,
VAP2110,"Lọc nhiên liệu tách nước GLQ007357390.20",3,3,
VAP2111,"Lọc van thở 60186788",3,3,
VAP2135,"Lọc điều hòa ngoài B222100000660K",3,3,
VAP2136,"Lọc điều hòa trong B222100000711K",3,3,
VAP2138,"Lọc điều khiển A222100000119",3,3,
VAP02681,"Lọc dầu máy P550596,B222100000494",4,4,
VAP2107,"Lọc nhiên liệu thô 60307173",4,4,
VAP07701,"Bulong ba tanh bắt ngói xích ủi CLGB230",400,400,
VAP08150,"PV GEAR VG 220 EP",418,418,
VAP08141,"PV TRANSMISSION 80W90 EP",418,418,
VAP08142,"PV TRANSMISSION 85W140 EP",418,418,
VAP01020,"Máy hàn que (ZX7-300E), Jasic",5,5,
VAP07448,"Vành sao máy ủi Liugong CLBG230",6,6,
VAP2174,"Lọc nhiên liệu thô 1000700908",7,7,
VAP1827,"Gale đỡ máy ủi Liugong CLGB230",8,8,
VAP08139,"PV ENGINE RMI 15W40",836,836,
VAP02348,"Mỡ bôi trơn Licas Grease No2 EP2",884,884,
VAP02667,"Lọc thủy lực 60082694","cont 2",2,
VAP01035,"Kích thủy lực dùng hơi khí nén 50T","CONT 2",4,
